BaseP,EXP.cost,x,y,row,col,field,EXP.rate.ssopt,NR.ssopt,NR.min,NR.opp,NR.fs,yld.opt,yld.min,yld.fs,pro.opt,pro.min,pro.fs,NR.ffopt,yld.ffopt,pro.ffopt,EXP.rate.ffopt,NUE,cost.NUE,NR.act,yld.act,pro.act,sim
7.24,0.4,639345.9,5100660,10,36,sec35middle,75,190.734743706983,135.555693107194,61.75047584,177.460569669618,55.06333,44.61997,56.14682,14.04868,10.885094,15.40355,188.668982583184,54.66643,13.96846,73,0.2202173,6.606519,172.63205908433,55.4311437625685,15.3794553251006,2021EconCondition
7.24,0.4,639355.9,5100660,10,37,sec35middle,74,175.687067713975,129.565164767033,57.282752,162.202208057671,52.94826,43.8035,54.02422,13.97132,10.855999,15.36238,174.963242798377,52.79289,13.93112,73,0.2226772,6.59124512,156.084158790155,53.1370826148705,15.3406168405214,2021EconCondition
7.24,0.4,639375.9,5100660,10,39,sec35middle,74,188.909591688494,130.826977262237,59.37393152,182.684840915813,54.75292,44.18566,56.67792,13.67024,10.622054,15.03132,188.286763081846,54.61538,13.63091,73,0.2225343,6.58701528,181.84201241938,56.5813305314227,15.0408612716628,2021EconCondition
7.24,0.4,639385.9,5100660,10,40,sec35middle,73,183.293164201017,128.579074016345,58.55318624,174.414034923312,53.95615,44.03567,55.44633,13.40187,10.443575,14.77876,183.293164201017,53.95615,13.40187,73,0.2231157,6.51497844,173.459596748137,55.3251323974375,14.7837027736902,2021EconCondition
7.24,0.4,639395.9,5100660,10,41,sec35middle,126,169.613640830424,123.484565764641,55.4356784,156.77805324811,55.12102,43.46595,52.96773,14.78898,10.288022,14.55863,165.927260217063,51.61629,13.20225,73,0.183499,9.2483496,155.666192953524,52.7993271793396,14.5499283272057,2021EconCondition
7.24,0.4,639405.9,5100660,10,42,sec35middle,126,169.389499433677,116.620542995616,50.00504672,156.829584640615,55.099,42.47351,52.98108,14.81419,10.305557,14.58345,165.559431134273,51.56165,13.22476,73,0.1834567,9.24621768,155.952555841322,52.859649494373,14.5826796143125,2021EconCondition
7.24,0.4,639415.9,5100660,10,43,sec35middle,73,143.33204345474,109.976489718425,44.703992,136.797206154218,48.51713,41.50475,50.24969,13.25872,10.332027,14.6209,143.33204345474,48.51713,13.25872,73,0.2195587,6.41111404,133.097128395352,49.7262087555416,14.6117394769754,2021EconCondition
7.24,0.4,639425.9,5100660,10,44,sec35middle,73,141.417833475232,108.543352616853,43.5745712,133.674259665089,48.2548,41.29835,49.82348,13.26278,10.335189,14.62538,141.417833475232,48.2548,13.26278,73,0.2200532,6.42555344,129.188160124794,49.1513836301646,14.5946063170258,2021EconCondition
7.24,0.4,639435.9,5100660,10,45,sec35middle,73,171.60024379937,118.385664638997,51.3503926399999,160.204318198625,52.38625,42.71937,53.44464,13.23113,10.310523,14.59048,171.60024379937,52.38625,13.23113,73,0.2200529,6.42554468,159.747053304563,53.3870065089084,14.5931098068065,2021EconCondition
7.24,0.4,639445.9,5100660,10,46,sec35middle,73,178.44387996626,119.00742794421,51.60101024,169.091447546369,53.31144,42.76517,54.67789,13.28728,10.354277,14.65239,178.44387996626,53.31144,13.28728,73,0.2199367,6.42215164,167.844775067943,54.4919387656729,14.644335266246,2021EconCondition
7.24,0.4,639455.9,5100660,10,47,sec35middle,73,165.697624708028,108.978994458238,43.61243744,155.109788044133,51.56105,41.30527,52.78068,13.33864,10.394301,14.70903,165.697624708028,51.56105,13.33864,73,0.220057,6.4256644,155.206208329844,52.7880811450916,14.7059802646103,2021EconCondition
7.24,0.4,639465.9,5100660,10,48,sec35middle,73,173.320059093223,112.978916109258,46.3672064,162.526792984559,52.59021,41.8087,53.8275,13.42715,10.463278,14.80664,173.320059093223,52.59021,13.42715,73,0.2199227,6.42174284,163.556708366132,53.9668240256333,14.8057271429411,2021EconCondition
7.24,0.4,639475.9,5100660,10,49,sec35middle,73,169.401609587925,115.131823538115,47.70352352,158.619712966137,52.04535,42.05291,53.3254,13.51276,10.529988,14.90104,169.401609587925,52.04535,13.51276,73,0.2199339,6.42206988,156.972715342289,53.0738494903292,14.8878719081866,2021EconCondition
7.24,0.4,639485.9,5100660,10,50,sec35middle,73,165.387853031289,116.615516514106,48.81773216,154.548469648971,51.49626,42.25653,52.77083,13.52142,10.53674,14.9106,165.387853031289,51.49626,13.52142,73,0.219874,6.4203208,153.650839994807,52.6612964966,14.9175631043624,2021EconCondition
7.24,0.4,639495.9,5100660,10,51,sec35middle,73,163.428962693145,114.295851676329,46.9918351999999,153.034635795401,51.22791,41.92285,52.56673,13.52989,10.543338,14.91993,163.428962693145,51.22791,13.52989,73,0.2200803,6.42634476,152.68334116464,52.5148157374125,14.9180049154808,2021EconCondition
7.24,0.4,639505.9,5100660,10,52,sec35middle,73,151.893705026518,109.752492411662,43.29068384,140.255146228824,49.64824,41.24647,50.83521,13.58066,10.582899,14.97592,151.893705026518,49.64824,13.58066,73,0.21994,6.422248,138.963335710055,50.700198976112,14.9977751829394,2021EconCondition
