"BaseP","EXP.cost","NR.ssopt","NR.min","NR.fs","ffopt.EXPrate","NR.ffopt","NR.act","NR.opp","median.ssopt.EXPrate","sim"
3.48, 0.38255385, 66.877270452866, 43.5061264416096, 50.9183036969855, 73, 66.4919283317118, 48.5155443801995, 61.6546507, 73, 1
3.6, 0.38255385, 73.1892722588716, 48.4347480853544, 57.2690317565616, 73, 72.735619957563, 54.3143688071394, 68.5239229, 73, 2
4.81, 0.501653236, 73.9864688133792, 44.4612831836776, 53.4656306982664, 73, 73.5881759169665, 50.387539222357, 120.47098625, 73, 3
8.02, 0.69892735, 212.193153574003, 161.084260438849, 184.411582202233, 73, 211.264431213626, 175.756914831968, 329.93365735, 73, 4
4.3, 0.472282609, 29.5066226668987, 3.64425756866682, 10.1110536033246, 73, 29.2352445962049, 7.88466490691674, 25.1443232, 73, 5
7.05, 0.663747427, 160.516758684497, 118.03075405346, 133.958976502215, 73, 159.905338311207, 128.180620546615, 220.97126285, 73, 6
3.46, 0.477032395, 50.2371870339969, 35.308950858622, 31.1353657969855, 73, 51.1645159881688, 32.0570738939385, 52.3020015, 72, 7
4.3, 0.472282609, 29.5066226668987, 3.64425756866682, 10.1110536033246, 73, 29.2352445962049, 7.88466490691674, 25.1443232, 73, 8
6.43, 0.945716673, 152.479512313308, 136.486050027541, 111.20572577218, 0, 136.486050027541, 116.436118878084, 309.176201, 40, 9
6.64, 0.50910112, 150.820115709582, 101.269509709779, 130.897436717571, 73, 149.918151061984, 120.623565844033, 182.20894115, 75, 10
5.02, 0.459851242, 93.2975835522123, 58.321234333426, 74.7060292648655, 73, 92.7235139805958, 68.981967578919, 82.718035, 73, 11
7.85, 0.866248832, 229.344789133492, 194.48256986863, 195.666053467763, 73, 230.534810535533, 194.287308286596, 376.64226725, 73, 12
3.05, 0.277246364, 56.9361415946775, 30.5090773125221, 45.6029858036147, 73, 56.4944482942079, 40.4104533949777, 70.8006114, 73, 13
3.72, 0.38255385, 79.4474385217483, 53.3965394956028, 63.6196025039748, 73, 78.9550721519374, 60.0472716622669, 71.4678967, 73, 14
4.85, 0.519847913, 74.6764975573837, 46.1064055438641, 53.3877889993309, 73, 74.3380171822629, 50.8167883327323, 117.52701245, 73, 15
6.92, 0.661770631, 153.848076009584, 112.724141154048, 127.358695772215, 73, 153.304781619207, 122.048513470747, 208.21404305, 73, 16
4.53, 0.34, 32.9670307705123, -5.47676163470402, 19.5899359889544, 73, 32.3121636532049, 10.9856428555673, -18.021457375, 75, 17
3.05, 0.277246364, 56.9361415946775, 30.5090773125221, 45.6029858036147, 73, 56.4944482942079, 40.4104533949777, 70.8006114, 73, 18
6.72, 0.526892288, 153.66002055726, 104.555836443038, 132.977361757571, 73, 152.774188658207, 122.9827421849, 189.3235445, 74, 19
8.43, 0.935760348, 213.672826601523, 177.760632133603, 177.626294956784, 73, 215.298655586771, 176.696431489136, 380.47187425, 73, 20
4.18, 0.254011228, 118.034315968508, 76.823577182923, 108.029167093994, 73, 116.971747620208, 97.1334790566131, 91.16309685, 75, 21
3.26, 0.388891019, 52.8212413442659, 32.3538014174872, 36.4604518734186, 73, 52.4913849135036, 35.3482808446935, 64.23594255, 73, 22
5.69, 0.551491256, 121.433885168955, 85.7254242629759, 99.0941632772594, 73, 120.858297280821, 94.3248731015521, 156.31738, 73, 23
3.46, 0.477032395, 50.2371870339969, 35.308950858622, 31.1353657969855, 73, 51.1645159881688, 32.0570738939385, 52.3020015, 72, 24
4.85, 0.519847913, 74.6764975573837, 46.1064055438641, 53.3877889993309, 73, 74.3380171822629, 50.8167883327323, 117.52701245, 73, 25
