"BaseP","EXP.cost","NR.ssopt","NR.min","NR.fs","ffopt.EXPrate","NR.ffopt","NR.act","NR.opp","median.ssopt.EXPrate","sim"
4.85, 0.519847913, 74.6764975573837, 46.1064055438641, 53.3877889993309, 73, 74.3380171822629, 50.8167883327323, 117.52701245, 73, 56
5.95, 0.53194178, 108.148121458491, 68.0954657710204, 86.7929727744701, 73, 107.484726069203, 80.1136238601941, 119.6561209, 73, 57
4.61, 0.551835463, 94.3311895949511, 71.2229711879168, 71.8155543916007, 73, 94.4337543039545, 71.2855974025278, 61.66448695, 73, 58
6.72, 0.526892288, 153.66002055726, 104.555836443038, 132.977361757571, 73, 152.774188658207, 122.9827421849, 189.3235445, 74, 59
2.9, 0.272363688, 46.5443058928822, 21.3523217669014, 35.3602555684629, 73, 46.1134438820973, 30.6516931369897, 71.3052475, 73, 60
7.42, 0.668385423, 223.31513669043, 176.82639321774, 196.736829904005, 73, 222.595193133763, 189.571132895441, 335.42663405, 73, 61
5.85, 0.459740498, 131.425853067851, 87.1257017407315, 113.33928261447, 73, 130.699541779104, 104.224332758947, 135.9268487, 74, 62
7.42, 0.668385423, 223.31513669043, 176.82639321774, 196.736829904005, 73, 222.595193133763, 189.571132895441, 335.42663405, 73, 63
3.97, 0.447716669, 74.7249226547773, 50.7724492154175, 56.1980863061518, 73, 74.4024017684166, 54.3432751966397, 46.64667035, 73, 64
7.74, 0.640297682, 201.805571951165, 149.620876008548, 176.65086982258, 73, 200.979406185533, 166.870967510111, 297.54994555, 73, 65
4.34, 0.472282609, 31.6376927291118, 5.27054815883882, 12.2139236033246, 73, 31.3100773962049, 9.85991018099099, 26.86164125, 73, 66
3.6, 0.38255385, 73.1892722588716, 48.4347480853544, 57.2690317565616, 73, 72.735619957563, 54.3143688071394, 68.5239229, 73, 67
3.04, 0.384040508, 46.9602357019173, 28.4949816235482, 30.6622431736147, 73, 46.5804939322079, 30.0836299318844, 54.23541125, 73, 68
4.23, 0.34, 35.9012089117304, 0.948677945723801, 22.4253737039939, 73, 35.3909176532049, 14.9069545065887, 25.2743232, 74, 69
3.07, 0.432045571, 44.1754546827572, 29.7532242088261, 26.4826597280483, 73, 44.6300698832079, 27.2938544593778, 71.6539229, 72, 70
4.35, 0.506059783, 29.5404942549706, 5.67498937693878, 8.68638022332459, 73, 29.3630518942049, 7.4643706776078, 27.1069724, 73, 71
8.02, 0.69892735, 212.193153574003, 161.084260438849, 184.411582202233, 73, 211.264431213626, 175.756914831968, 329.93365735, 73, 72
5.38, 0.515505377, 79.6803321694695, 44.6967642663043, 58.7065061911987, 73, 79.0295058358541, 53.7634554516884, 79.66714345, 73, 73
5.26, 0.503220109, 77.4686810074033, 42.9680145175924, 56.9897876159166, 73, 76.8211837998541, 52.1197880453521, 75.1918778, 73, 74
7.05, 0.663747427, 160.516758684497, 118.03075405346, 133.958976502215, 73, 159.905338311207, 128.180620546615, 220.97126285, 73, 75
6.91, 0.590870676, 168.176310018205, 121.700734404048, 144.720729122215, 73, 167.341642734207, 136.234216696897, 125.84019295, 73, 76
3.07, 0.265825704, 58.8180814106826, 31.3532242088261, 48.0290437680483, 73, 58.3641201742079, 42.3458117196697, 50.6834571, 73, 77
3.6, 0.38255385, 73.1892722588716, 48.4347480853544, 57.2690317565616, 73, 72.735619957563, 54.3143688071394, 68.5239229, 73, 78
4.18, 0.254011228, 118.034315968508, 76.823577182923, 108.029167093994, 73, 116.971747620208, 97.1334790566131, 91.16309685, 75, 79
3.57, 0.451582354, 53.4970186388291, 34.3892182029556, 34.5909021765616, 73, 53.3318459584861, 34.3123293337356, 50.8172999, 72, 80
3.26, 0.388891019, 52.8212413442659, 32.3538014174872, 36.4604518734186, 73, 52.4913849135036, 35.3482808446935, 64.23594255, 73, 81
7.49, 0.653412213, 187.938161834075, 139.337939656669, 161.896171804005, 73, 187.003767463763, 153.634507558671, 269.8275256, 73, 82
5.58, 0.639525511, 80.1671795545194, 52.8987365384315, 54.3991650278039, 73, 80.385076215821, 53.3601051786399, 92.91502555, 73, 83
5.3, 0.32, 80.3970747819714, 31.2103219416808, 67.7005646959166, 73, 78.8946339568541, 54.9685626930446, 1.82841162499999, 75, 84
5.36, 0.484126788, 80.9247081630412, 43.873083517427, 61.4167667711987, 73, 80.2809517328541, 55.2714241294946, 78.4404877, 73, 85
3.15, 0.486246557, 33.7143362834881, 22.516715270115, 13.6892117634186, 73, 34.3202547915045, 15.8890516899499, 53.52865725, 49, 86
4.22, 0.466304348, 25.7868665101761, 0.414186256579313, 6.61388009399391, 73, 25.5219920492049, 4.43873984306757, 21.7096871, 73, 87
3.07, 0.265825704, 58.8180814106826, 31.3532242088261, 48.0290437680483, 73, 58.3641201742079, 42.3458117196697, 50.6834571, 73, 88
7.49, 0.653412213, 187.938161834075, 139.337939656669, 161.896171804005, 73, 187.003767463763, 153.634507558671, 269.8275256, 73, 89
3.97, 0.447716669, 74.7249226547773, 50.7724492154175, 56.1980863061518, 73, 74.4024017684166, 54.3432751966397, 46.64667035, 73, 90
2.9, 0.272363688, 46.5443058928822, 21.3523217669014, 35.3602555684629, 73, 46.1134438820973, 30.6516931369897, 71.3052475, 73, 91
7.49, 0.653412213, 187.938161834075, 139.337939656669, 161.896171804005, 73, 187.003767463763, 153.634507558671, 269.8275256, 73, 92
3.6, 0.385040613, 70.9179126808316, 46.3547480853544, 54.8906201965616, 73, 70.474086258563, 52.0605424093299, 70.3692213, 73, 93
4.81, 0.501653236, 73.9864688133792, 44.4612831836776, 53.4656306982664, 73, 73.5881759169665, 50.387539222357, 120.47098625, 73, 94
6.43, 0.945716673, 152.479512313308, 136.486050027541, 111.20572577218, 0, 136.486050027541, 116.436118878084, 309.176201, 40, 95
3.97, 0.447716669, 74.7249226547773, 50.7724492154175, 56.1980863061518, 73, 74.4024017684166, 54.3432751966397, 46.64667035, 73, 96
6.41, 0.602917158, 126.874822657813, 86.9719747653776, 102.58989307218, 73, 126.223349029709, 96.9291239498532, 156.9464557, 73, 97
4.46, 0.496195652, 36.043598551265, 10.1555468210197, 15.6666378013459, 73, 35.7889236572049, 13.7004246041035, 32.0135954, 73, 98
5.78, 0.532998136, 127.566148620378, 89.4498124653025, 106.04787525447, 73, 126.892760784122, 100.142070209643, 193.1170525, 73, 99
7.05, 0.663747427, 160.516758684497, 118.03075405346, 133.958976502215, 73, 159.905338311207, 128.180620546615, 220.97126285, 73, 100
